August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
NA,73,NA,NA,NA,NA,NA,NA,NA,5643,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,6938,NA,NA,NA
NA,183,NA,NA,NA,NA,NA,NA,NA,9171,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,10408,NA,NA,NA
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,1023,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,14673,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,4371,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,606,NA,NA,NA,NA,NA,NA,NA
NA,NA,116,NA,NA,NA,NA,70,NA,NA,2205,NA,NA,NA,NA,1727
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,394,NA,NA,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,1172,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,637
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,1551,NA
NA,183,NA,NA,NA,NA,NA,NA,NA,1432,NA,NA,NA,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,6669,NA,NA,NA,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,2366,NA,NA,NA,NA,NA,NA
NA,110,NA,NA,NA,NA,NA,NA,NA,5502,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,7569,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,2223,NA,NA,NA,NA,NA,NA
NA,NA,NA,121,NA,130,NA,70,NA,NA,NA,1987,NA,2768,NA,3372
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,2201,NA
NA,NA,NA,80,124,NA,NA,NA,NA,NA,NA,2127,3568,NA,NA,NA
NA,NA,NA,121,NA,86,NA,106,NA,NA,NA,1757,NA,2797,NA,3218
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,1303,NA,NA,NA,NA
