August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
303,476,194,323,457,607,443,601,13177,10367,12989,11150,22898,17857,22183,18240
757,476,623,767,499,563,1092,1062,3352,2605,2746,2020,2125,2358,3957,3517
265,183,233,121,208,130,273,424,6630,5394,7306,6062,8673,6505,9414,6965
492,220,155,444,374,346,341,495,17590,16931,19484,22230,24979,23129,31026,20654
75,73,116,161,208,303,136,70,6314,6669,6153,7348,10408,10842,11376,8852
265,330,233,525,749,693,375,495,4209,3588,3711,4203,7569,6546,7361,6884
303,330,233,363,791,737,614,495,7976,5692,7306,5511,16479,11702,13651,11015
568,293,935,323,832,737,682,531,8879,6824,8502,6100,12810,9962,9892,10622
227,256,194,202,374,216,853,247,2343,2252,2466,1712,5204,3497,3661,3395
340,256,77,80,166,216,273,318,7577,7336,5567,5774,11102,7744,7800,8612
303,293,389,161,416,260,477,531,7976,5754,6718,5575,10154,8393,9954,8430
947,586,428,687,749,520,921,920,2997,1851,2280,2642,3375,2365,2647,2832
416,73,467,242,166,173,307,389,2874,2157,1812,2425,2643,1577,1633,1770
757,1283,2104,1010,791,1127,1023,318,795,1320,2201,1253,894,1127,1040,371
189,146,467,282,333,260,238,424,5412,4192,5082,4638,6405,5310,6286,4335
719,1393,1013,1050,749,1127,1023,956,3302,3904,2822,2526,3637,2967,2917,2583
113,330,428,404,499,477,307,283,7103,5158,7027,5461,8058,5747,7313,7081
189,110,155,121,208,173,68,212,1605,1897,1456,1250,2168,1365,1625,1597
1629,1320,1558,1212,1332,1691,2047,1699,5696,5261,6112,4869,6028,6765,7210,6202
492,770,1052,1697,874,1864,1433,849,871,1045,1169,2001,1207,2233,1603,1646
189,403,272,404,499,563,204,354,63143,40352,54557,40418,62449,43368,68258,59013
303,293,428,1010,541,1127,648,814,2424,2466,2164,2971,3382,3835,3582,4286
416,696,506,1010,1332,737,989,1239,14370,13939,12989,13472,23790,19925,20619,20654
227,293,584,282,416,216,307,283,3444,3578,4566,3368,3384,3497,3613,3678
644,1027,974,808,499,1301,1331,920,6253,5161,6409,5613,5490,6537,8066,5613
568,476,350,323,541,477,614,708,4816,4415,3896,3368,6013,5021,5906,6052
757,733,974,808,1332,650,853,1062,2936,3057,3173,2184,4578,2997,2983,3009
378,293,311,606,791,520,477,318,8060,7157,7793,6590,11141,9637,9751,8852
151,256,311,121,166,130,375,212,4457,4141,4948,4181,5551,3516,4634,4248
530,733,584,767,1124,737,1399,920,5583,5166,5567,5085,8851,7228,8637,8005
189,293,194,161,208,260,273,177,6765,5434,7216,5389,7434,6346,6500,5364
113,330,116,242,249,260,409,318,11365,10317,9742,9700,15612,15306,16381,12746
833,696,545,889,999,520,853,778,2934,2124,3286,2868,2938,2538,3171,2545
454,586,701,727,749,1040,784,778,492,825,915,929,978,1365,938,991
757,990,1091,646,999,607,819,1133,5530,5325,6028,5389,6324,6071,5572,5637
454,476,428,282,707,780,375,389,6403,4456,4816,4160,10257,5274,5865,5644
1212,1027,740,1333,791,1561,648,1345,2141,1814,1558,1961,1538,2340,1212,2213
833,733,350,727,582,1084,511,743,9691,9914,10315,8362,11208,8814,9141,11618
909,843,428,444,749,1040,1331,1097,7216,5550,6212,3934,10554,6505,10083,9628
454,183,350,363,999,346,921,708,8578,7054,7014,5683,16116,13877,14398,14163
454,440,311,404,624,1084,580,424,23928,24456,23981,25261,39031,36140,48349,38627
719,1393,350,565,624,693,614,708,12854,10481,12094,8573,8439,8360,10970,8234
113,220,77,404,333,390,375,601,2583,2751,2361,3039,5124,5575,5865,5625
454,880,974,727,541,867,819,708,3953,6114,5940,4229,4400,5256,5250,5022
75,220,77,121,166,86,102,141,6314,8152,7793,8083,7569,6672,9307,6744
113,73,311,242,249,86,511,212,22731,24456,25979,22046,31224,28912,36566,26556
75,73,77,161,83,130,68,247,4209,3861,4871,4254,9251,5913,7584,5507
151,330,233,80,249,86,341,106,5612,5325,5437,3849,5430,5421,5884,4248
227,220,233,323,541,433,341,141,7103,5643,5195,5132,8872,8850,9224,5447
265,220,155,323,249,477,102,460,5642,6288,4102,5774,6751,7820,6825,6483
189,476,194,80,166,433,477,637,9471,9537,9742,6218,16653,13141,15413,18209
3409,2787,2766,2142,2456,2211,2286,3186,6646,7076,6464,5934,5807,5394,6081,6211
2007,3081,3039,2182,2081,3729,4232,1416,12243,14332,13390,17185,13517,16215,17133,11421
189,146,77,80,83,260,204,177,3574,3122,3542,4254,3965,5782,5688,3934
340,586,584,1010,1373,390,887,637,21311,20239,22482,21966,28622,21684,31691,22762
189,110,350,121,166,346,273,389,9471,9171,7624,6736,11895,11564,13001,10819
1022,550,428,404,457,693,546,956,4192,3417,2896,2846,4361,3710,3434,4248
340,513,233,363,541,607,136,283,8118,7133,7085,6165,8729,6899,6500,6437
757,1137,1480,1616,1790,2602,1911,3292,37886,29926,37021,22454,68855,49096,63707,60980
606,807,506,525,749,1431,853,1239,3812,4585,4085,4776,7069,7339,7550,7333
265,183,233,363,291,86,204,177,3234,2321,1981,2776,2127,1495,1931,1806
151,293,194,202,166,520,375,318,4095,3224,3479,4393,5372,7129,5520,6373
871,550,506,1131,1040,867,1467,1239,6136,4585,4523,5547,8820,6570,8532,7333
1212,1063,857,646,1831,1040,1604,1168,5181,5266,5227,4522,9023,7542,7004,7395
681,1063,1052,1050,1082,650,1296,672,5412,4770,4477,4360,5179,3236,5738,3866
492,1320,1013,1010,2456,1604,1911,1522,14924,11097,14072,9716,26131,18658,23026,20300
757,330,779,1131,749,607,819,601,17221,16507,19484,13314,18278,12918,15454,14681
795,733,701,363,915,1170,1228,1097,7724,5964,7231,5963,11169,11593,12286,10163
416,293,194,80,166,216,204,460,13023,11287,12989,13472,20816,15488,22752,10704
606,586,740,606,791,910,716,956,8419,6379,7712,4269,10141,7718,8740,8313
378,550,194,363,208,477,341,424,4073,3958,4871,4604,3927,3975,4675,4568
113,110,233,80,124,86,170,141,2991,2559,2718,2787,3286,2710,2892,2360
265,110,116,323,374,303,238,283,796,769,621,808,1622,1190,1159,833
1401,1320,1285,2182,2206,2949,2798,2655,4222,5741,4642,9132,8358,11987,11105,8047
454,146,350,80,374,346,375,460,8578,8152,8554,8981,11709,12849,15016,10959
151,256,77,121,83,130,170,212,8419,6419,7793,6381,7569,7228,10665,5590
833,807,272,646,499,1084,887,424,8867,7472,5930,6532,9796,7744,8963,9442
795,623,506,80,249,303,341,212,928,642,701,202,312,390,409,354
340,403,155,727,208,563,307,424,3589,4921,4453,6165,4336,4583,5206,4774
1022,1504,1091,1414,666,780,1501,389,3237,3173,2863,2928,1810,1863,3174,1044
1401,3008,1558,2263,1082,2211,2150,1380,4566,6852,4378,5052,4586,4787,4897,3577
75,110,155,121,124,86,136,354,6888,5792,5375,5511,9607,6672,6825,9317
303,73,272,485,457,433,204,531,3988,5240,5245,5987,7507,7109,6205,8706
113,183,155,485,457,477,443,601,7103,6550,6777,6467,15791,12553,15299,11575
909,1063,1247,1010,624,1170,819,531,16237,13997,13554,13295,11782,9148,10777,10414
189,220,467,121,166,130,238,106,3157,2858,3270,2755,2485,1606,2077,1496
2652,1907,3000,2384,1706,867,1399,814,2973,2477,3293,2747,1977,1019,1604,938
151,183,389,242,291,303,204,212,5412,4265,4428,3849,5498,4158,4994,4335
909,990,1013,1293,1540,1257,1092,1097,6314,6308,6332,6218,6876,7811,8401,7622
113,146,77,161,124,346,204,247,3919,4192,4329,5987,6573,10204,9307,7745
189,146,194,242,333,346,102,212,1515,1137,1325,1638,2449,1779,1422,1562
151,110,77,121,333,173,443,106,16838,15721,12989,12125,37007,34694,31691,35408
189,220,311,80,166,216,273,70,23678,20009,22268,16167,20816,19712,21002,14163
378,183,389,242,83,346,341,177,2525,2209,1891,1757,1982,1584,2201,1220
189,146,155,323,166,86,204,318,6765,6669,7085,4899,7569,4336,4994,5311
757,1614,857,1212,1082,1301,784,1133,10379,10980,8748,8362,11895,9035,8819,8649
378,623,155,525,291,520,750,354,2202,2474,2106,2101,2469,2168,3128,2682
454,330,662,727,749,823,580,672,1117,568,954,1393,1581,1301,1023,1326
719,256,350,525,457,823,477,672,51417,36684,43840,37531,65423,48470,68258,61159
227,330,77,80,83,303,136,495,701,935,331,585,770,824,869,1274
151,73,116,282,208,346,136,212,6314,5643,6153,5774,9462,9376,10501,7081
265,73,77,282,166,216,68,70,24109,18342,19484,20209,18503,16680,13651,14163
265,220,272,363,166,130,511,177,1854,1448,1715,2127,1616,1782,1570,1255
151,256,194,404,791,346,136,495,1683,1450,1910,1616,3019,2628,2676,3177
227,293,194,444,249,477,750,318,1495,1192,1325,1273,2191,2129,2170,1379
113,73,77,121,208,86,204,212,1196,621,1067,1073,2040,1700,1678,1800
303,513,155,323,83,823,375,460,1515,1909,1309,1518,1665,2474,1915,2278
568,366,350,565,457,260,716,354,12354,12228,10628,8841,8979,11313,9954,11421
1022,953,584,727,707,477,750,708,1590,1650,1207,1313,1040,1172,1193,1257
1326,990,623,687,1540,1084,614,1062,5765,6308,4584,5678,5791,6611,6825,7753
454,330,467,646,291,780,341,354,10332,11005,7666,10601,8831,9293,8751,8047
568,366,350,444,666,607,375,814,4658,4216,3896,3674,5597,5838,6055,6264
378,256,194,565,208,86,307,495,4209,3093,3247,3698,2635,2115,2818,2986
303,220,77,525,416,260,409,708,511,329,311,808,645,650,835,1079
492,1393,1013,525,915,997,1604,2513,1588,2640,2106,1294,2289,2577,3756,4779
340,330,467,970,333,650,853,531,14207,15721,14613,19020,14481,18586,20810,17132
189,110,389,121,208,173,170,247,3210,2445,3068,2636,3252,2990,2245,3349
1136,476,467,282,666,650,989,354,4241,4541,4630,4963,5008,5332,5926,3650
151,73,77,323,83,477,170,318,18943,18342,19484,17963,27755,31803,28440,35408
530,330,311,363,499,260,341,141,852,660,642,667,687,542,630,336
113,146,194,80,166,173,273,70,4209,4446,5266,5389,6661,6672,5809,5901
1288,1504,1091,1091,499,1604,955,1097,1951,2254,2122,1941,999,2253,1603,1805
1174,1137,857,2667,1498,2515,1228,1876,2139,1779,1655,4104,2624,3578,2918,2904
151,110,155,202,291,173,273,177,8419,8465,7422,6124,12143,10204,10501,9317
985,770,701,1374,957,1734,989,1062,4339,3566,3791,3635,5176,5057,5292,3807
189,256,272,202,249,173,409,424,1913,991,1523,1453,2014,1906,2201,1485
871,1027,350,1010,999,1387,1228,1310,15023,9972,10020,8942,17842,14307,16830,16583
606,696,467,565,541,477,511,283,22451,17424,20331,15293,16400,12553,15998,12315
151,183,77,161,291,260,136,141,2706,2445,2514,2413,3238,4065,3500,4291
113,366,506,161,416,303,170,177,22731,18342,20264,16167,20816,15178,18960,17704
151,403,272,444,166,433,238,354,4888,4921,4546,5700,5046,5102,4684,4482
227,146,311,242,374,390,273,212,4941,6379,10750,6928,10127,10842,8030,8497
568,256,155,444,249,216,614,177,13860,11672,10391,9073,11895,7744,11169,8430
871,1283,818,808,1248,1474,1877,1203,10757,9041,8266,7626,12876,12495,14329,15238
303,220,272,161,291,390,136,177,7048,4402,5146,3368,6200,4818,5056,4318
568,917,896,2142,707,1257,853,1133,7784,7772,8874,8400,7007,6910,7169,7454
757,330,428,565,457,1040,443,460,21047,23582,20412,28293,30531,29738,36973,16439
189,183,155,161,124,693,68,495,9020,9171,9742,10778,13877,19274,17064,20654
606,917,1247,727,957,1301,1126,495,7216,6694,6266,7063,8399,7477,7508,6119
1439,990,1363,1212,1706,1474,1569,1841,3859,3195,3757,3861,5188,4298,4686,5245
871,770,623,1576,1290,1127,1365,814,28109,29629,25979,26272,33093,30475,36896,28082
4811,3961,3702,3233,1706,1691,2013,1664,7368,7229,6253,6492,3166,2946,3735,2620
947,1137,701,646,999,1214,1945,1239,12300,13223,14315,13197,16935,19585,27399,17704
378,440,428,202,666,563,307,1239,5051,4114,4762,3962,9125,6711,7143,10242
303,513,233,282,166,563,307,460,2806,3170,3597,2947,2775,3355,3412,3968
303,220,311,404,416,216,682,424,5942,5368,5773,6315,7709,9035,9751,6965
151,256,233,121,374,260,648,601,891,753,662,464,1435,1320,1724,2033
1591,2090,1675,1697,1831,1821,2184,1805,5505,4954,4914,5288,6252,5486,5488,5204
227,733,506,323,457,780,409,106,9471,8337,7675,7519,8480,7295,8358,8171
189,256,272,323,291,520,409,389,720,879,741,908,1289,1213,1143,1486
75,256,701,282,124,433,409,177,2228,2232,2997,2377,2047,2036,2824,2241
340,733,584,525,457,1170,580,283,5412,6270,4996,5052,6637,6691,6519,4291
454,403,623,485,707,780,682,424,4289,5309,4948,4490,5898,6051,7756,5311
265,256,77,363,416,216,204,283,2433,3378,2361,1977,2851,2105,3056,3372
492,183,389,323,291,346,341,495,4037,3396,4531,3368,3938,4283,4550,3903
719,366,311,485,666,563,784,424,6370,5025,5668,4217,9125,6632,6229,5820
681,807,662,1374,1040,1387,1228,1203,4316,4055,3025,5146,5507,6640,5584,5326
265,183,194,323,208,130,273,212,1627,1972,2117,2046,1909,1193,1467,2062
303,330,311,687,541,390,375,495,5317,4522,4156,3994,5757,3942,5520,4236
227,440,272,404,333,303,375,495,6494,6288,6061,4755,8123,5325,6472,6274
2197,2164,1948,687,2414,2255,1979,1416,6406,5357,6146,4943,8076,7204,6324,5094
227,220,194,161,291,390,238,141,22731,16931,19484,13472,29143,22959,21718,20233
530,146,194,121,166,216,307,283,66301,48912,48712,40418,55511,43368,61432,56652
189,513,428,323,291,650,375,531,13530,12839,12607,13472,17143,15488,18771,16094
340,256,467,363,208,303,477,601,14825,18342,17319,20209,18924,15977,21718,20064
113,293,155,80,208,130,443,389,10332,10869,9169,8981,20816,16263,18486,17704
151,110,77,404,208,346,341,177,151545,110052,77939,134729,208166,173473,170645,177040
75,73,155,161,124,86,68,141,1994,1706,1812,1757,1643,1807,1587,1539
265,146,77,242,374,216,307,283,37886,29347,25979,24251,53528,43368,43880,47210
454,586,311,363,333,910,546,460,34972,32608,28341,24251,41633,37947,36404,46030
227,73,194,121,291,130,341,141,3666,3861,3676,3464,7108,5421,4740,4426
1591,1320,1441,1414,1415,1691,1979,1876,61201,60028,57675,56586,67406,70473,73314,72178
1363,1760,1714,2223,1665,2298,2662,2407,33266,28400,28109,25552,37007,34306,38029,34894
1515,917,701,1374,333,260,477,283,-9.22E+18,-9.22E+18,-9.22E+18,-9.22E+18,-9.22E+18,-9.22E+18,-9.22E+18,-9.22E+18
75,73,NA,NA,NA,86,102,NA,8419,8152,NA,NA,NA,17347,20477,NA
NA,1760,NA,1657,2706,3035,3822,2938,NA,5059,NA,5855,3308,3469,4814,3328
151,NA,77,121,NA,86,102,141,3157,NA,2514,2636,NA,411,581,708
151,110,155,161,374,NA,443,424,5412,5502,5773,7029,5063,NA,5995,4426
NA,366,350,242,83,86,170,70,NA,4419,5082,2921,3965,4336,4740,4165
113,NA,116,NA,374,607,443,531,1386,NA,1284,NA,1892,2605,2102,2565
189,NA,194,282,416,260,307,389,834,NA,779,645,437,281,392,442
75,110,77,NA,333,303,443,NA,25257,18342,25979,NA,18503,15178,20167,NA
265,NA,428,323,707,823,1023,566,1418,NA,1636,1577,1477,1344,2031,1062
75,NA,77,121,124,130,136,141,870,NA,604,1010,562,476,546,602
113,220,NA,323,832,997,477,849,887,1063,NA,1336,1353,1778,1023,1470
NA,NA,116,121,83,86,136,106,NA,NA,11690,13472,16653,17347,22752,21244
151,110,116,80,NA,130,238,177,1193,1068,779,869,NA,586,1090,797
NA,476,389,404,874,1257,1126,814,NA,4456,3896,5052,5142,6320,5959,5154
113,73,NA,NA,166,173,170,141,5166,3668,NA,NA,5372,5421,4875,4426
NA,73,77,NA,NA,260,273,177,NA,4891,4584,NA,NA,7228,6825,4917
189,183,77,NA,249,NA,238,NA,1722,1300,1257,NA,562,NA,511,NA
189,146,155,363,NA,477,375,283,947,1155,1343,1699,NA,1258,1110,778
NA,NA,77,80,NA,NA,136,106,NA,NA,683,728,NA,NA,4403,4248
75,NA,77,161,624,737,614,743,12628,NA,12989,12436,24979,23782,23627,21244
151,73,NA,161,208,NA,102,141,2296,1706,NA,1971,1292,NA,527,833
75,110,116,121,291,NA,341,212,1262,991,990,1212,1209,NA,1416,1118
NA,NA,272,363,NA,130,136,106,NA,NA,1806,2020,NA,3173,2904,3218
1136,990,1363,1091,208,390,307,NA,10523,10536,10911,12261,7178,7653,8776,NA
113,73,77,242,NA,260,273,354,5682,5643,6494,4409,NA,2655,2935,3404
NA,220,194,242,NA,130,136,NA,NA,1865,1709,2072,NA,1384,1533,NA
227,183,233,NA,582,1257,989,566,851,679,994,NA,1248,2015,1671,1185
NA,293,545,404,333,693,409,637,NA,1956,2648,2161,854,1215,954,1239
189,146,272,121,124,NA,102,NA,2630,2096,3135,1574,3673,NA,2767,NA
189,293,NA,363,1207,1084,1262,1274,2367,2643,NA,2317,3561,4251,4838,4193
113,NA,116,NA,291,346,NA,NA,2273,NA,1461,NA,665,759,NA,NA
NA,403,389,282,166,NA,102,70,NA,14945,16943,15718,33306,NA,34129,35408
265,440,389,565,NA,86,68,NA,1498,2000,2141,2281,NA,2551,2730,NA
NA,73,77,NA,NA,173,273,NA,NA,3057,3117,NA,NA,2312,3412,NA
113,146,116,NA,249,173,204,247,1438,788,1146,NA,437,412,562,495
189,183,NA,242,124,130,136,70,1058,808,NA,1149,1224,1172,1092,1041
NA,73,NA,80,83,86,NA,70,NA,8152,NA,8083,13877,14456,NA,11802
113,110,NA,NA,166,NA,NA,106,2319,1719,NA,NA,832,NA,NA,531
75,73,NA,80,208,130,204,247,1148,978,NA,929,1143,692,853,901
NA,110,77,NA,NA,86,102,NA,NA,1467,1012,NA,NA,1770,2007,NA
113,NA,77,80,83,86,NA,NA,1062,NA,1113,929,375,411,NA,NA
151,183,NA,202,124,173,102,NA,18943,22927,NA,20209,41633,43368,51193,NA
189,220,194,80,499,477,NA,354,10523,11005,9742,11548,9083,9541,NA,9569
151,NA,NA,80,83,NA,68,106,1003,NA,NA,565,1632,NA,2007,1686
265,220,194,NA,124,216,136,141,2138,1517,2051,NA,4029,3441,3102,3372
NA,146,155,161,166,NA,68,177,NA,640,721,505,291,NA,119,247
265,330,350,NA,124,260,238,141,3583,3550,3653,NA,6573,5004,6286,5245
454,256,311,NA,457,NA,511,814,1589,1246,1304,NA,790,NA,887,1080
303,476,467,485,NA,390,307,283,9471,10838,8992,11023,NA,19515,20477,23605
265,NA,311,NA,208,86,238,141,22100,NA,22268,NA,41633,43368,39817,35408
NA,293,311,NA,499,477,750,389,NA,2066,2860,NA,1435,1716,2062,1311
151,NA,194,161,NA,130,68,106,5612,NA,6494,7348,NA,10842,9751,10622
151,73,194,NA,1040,433,409,389,1284,1264,1381,NA,3784,2085,1671,1664
NA,73,155,80,208,390,238,141,NA,698,738,565,416,628,375,371
NA,NA,116,80,NA,260,273,283,NA,NA,5845,4755,NA,5656,5151,6437
113,220,116,NA,416,216,341,389,12628,9569,10628,NA,6213,5042,7756,6601
NA,183,233,242,499,563,511,566,NA,1247,2033,2146,2181,1734,1433,1506
NA,183,194,161,83,130,102,212,NA,6793,6718,7698,11895,13010,12798,13278
113,110,155,NA,NA,173,204,177,4941,4076,5375,NA,NA,3771,3356,3340
113,110,155,80,124,NA,NA,70,9471,7860,9169,6218,24979,NA,NA,17704
113,110,NA,NA,124,173,102,177,874,585,NA,NA,395,628,357,548
113,NA,116,80,NA,NA,170,141,778,NA,526,464,NA,NA,426,354
227,NA,155,242,166,NA,102,106,1863,NA,1833,2127,3543,NA,2925,2795
NA,73,NA,121,NA,86,375,212,NA,698,NA,830,NA,130,494,372
NA,586,584,NA,1332,1387,1331,1841,NA,4413,5082,NA,7791,7342,6791,9070
227,NA,155,202,NA,NA,136,70,5544,NA,4723,5181,NA,NA,9101,5447
151,183,NA,NA,83,NA,136,70,1782,1930,NA,NA,2449,NA,2967,2360
NA,146,116,363,208,303,477,354,NA,606,602,847,374,433,665,584
NA,476,506,485,416,433,648,354,NA,12228,13692,11279,19825,18070,22360,11802
303,403,272,767,NA,130,136,106,757,1117,1033,1576,NA,978,1092,1118
151,73,77,202,NA,216,273,247,1578,1497,1067,1210,NA,607,1042,991
75,73,77,NA,166,86,136,141,1377,1594,1443,NA,1601,1045,1074,1445
NA,73,NA,121,166,86,102,NA,NA,952,NA,1054,457,303,307,NA
113,110,77,80,166,NA,170,106,2418,2559,3247,2694,1541,NA,1917,1539
NA,110,77,NA,166,86,102,106,NA,1693,1321,NA,4163,3614,2925,3124
NA,403,NA,525,166,433,238,141,NA,2821,NA,3284,3469,4765,3916,3372
113,73,116,121,NA,NA,170,177,18943,14673,14613,20209,NA,NA,15513,14753
NA,NA,272,282,NA,173,204,177,NA,NA,3686,4100,NA,3690,5250,3766
189,NA,272,202,541,346,580,424,1578,NA,2005,1453,2122,1234,1483,1573
265,NA,233,161,832,607,648,885,3735,NA,5082,3170,8244,5782,7368,7196
NA,110,116,161,333,520,273,283,NA,2000,2087,2887,2622,3771,2874,2950
75,146,NA,NA,208,216,238,NA,15154,14673,NA,NA,9912,9035,9954,NA
75,110,155,121,249,216,NA,NA,1353,991,856,1332,645,695,NA,NA
113,73,77,80,124,NA,136,141,2418,2529,2226,2309,2230,NA,2037,1839
113,73,NA,NA,NA,86,102,NA,2029,1287,NA,NA,NA,1172,1329,NA
113,183,77,NA,208,86,NA,NA,14207,13101,12989,NA,6938,2891,NA,NA
NA,NA,194,161,124,173,NA,283,NA,NA,1307,1358,145,260,NA,442
NA,440,272,687,707,997,784,566,NA,1760,1748,2385,1583,1907,2082,1326
378,807,779,808,NA,303,102,141,1061,1502,1422,1475,NA,1061,1112,902
NA,146,116,NA,624,433,648,672,NA,4585,5314,NA,10072,7885,10630,8852
NA,110,116,121,124,86,NA,106,NA,3668,4031,4850,6244,5102,NA,5311
644,843,1013,1131,NA,86,170,141,4701,3817,5249,3460,NA,6672,8125,7454
909,586,389,444,124,NA,102,70,53486,53358,48712,44460,62449,NA,51193,70816
75,73,233,NA,333,216,341,318,7577,7336,6680,NA,4562,4713,5884,4365
NA,NA,194,161,291,303,375,283,NA,NA,3608,3592,3388,3529,4752,4046
151,NA,155,121,582,607,682,531,2971,NA,3247,2287,8447,7228,9480,5650
189,146,116,121,NA,260,170,141,3574,2994,3542,2287,NA,2224,2031,1748
75,256,NA,121,457,433,580,389,4209,3093,NA,2694,4201,2834,3581,3042
151,NA,NA,161,NA,NA,136,141,3696,NA,NA,4145,NA,NA,2437,2622
75,110,116,NA,416,346,375,424,1353,1196,1092,NA,1875,2017,2275,2813
151,146,116,NA,124,NA,102,141,7216,6669,6876,NA,13877,NA,17064,11802
189,110,116,NA,249,130,102,424,1552,1196,1343,NA,624,476,357,849
189,256,NA,NA,NA,173,170,106,1661,2761,NA,NA,NA,4034,3630,3662
189,110,155,161,208,173,NA,NA,9471,8465,7085,7348,5947,5102,NA,NA
NA,183,116,242,NA,NA,273,247,NA,935,899,1049,NA,NA,665,565
189,110,NA,202,457,650,511,637,1457,1068,NA,990,1683,1777,1723,1521
113,NA,116,80,NA,NA,136,106,6314,NA,8350,6736,NA,NA,4707,3793
454,366,428,202,83,260,NA,141,2484,2658,2857,2149,4625,3883,NA,4568
151,110,233,NA,1040,390,750,814,984,384,875,NA,2040,1105,1535,1645
265,220,116,121,249,NA,273,318,6630,5502,4031,3789,4306,NA,3545,3218
NA,660,506,323,1040,1604,1535,1593,NA,1706,1618,1936,2163,2949,2970,2956
151,110,NA,NA,83,NA,NA,70,1457,1222,NA,NA,3330,NA,NA,3372
NA,256,272,NA,83,216,170,141,NA,2038,1653,NA,2449,2744,2625,3147
NA,476,350,282,874,910,921,1380,NA,8831,6617,8083,9823,9486,9499,10006
189,NA,116,NA,83,NA,102,NA,530,NA,351,NA,375,NA,478,NA
NA,146,116,161,NA,86,136,70,NA,4585,5314,5389,NA,7885,9101,7868
151,73,116,NA,333,607,409,495,11657,10481,12989,NA,11895,11905,14626,12392
189,293,NA,202,374,390,170,247,3865,4891,NA,3545,1248,867,902,815
340,403,350,NA,124,173,102,106,8118,6022,8156,NA,10408,6424,11376,5311
151,110,77,NA,749,260,477,495,5051,4232,3896,NA,7275,4818,7131,6274
75,73,NA,80,333,997,921,814,912,952,NA,1049,2055,2778,2835,2837
189,NA,272,363,416,477,341,531,2282,NA,2392,3464,7434,6534,6965,8047
NA,146,116,80,249,260,273,177,NA,3578,4676,5389,4382,4336,4627,3766
NA,183,NA,202,83,86,170,212,NA,18342,NA,22454,27755,28912,34129,35408
NA,293,350,242,208,NA,NA,70,NA,8384,7793,7348,18924,NA,NA,11802
227,NA,155,161,124,NA,NA,177,947,NA,623,668,770,NA,NA,922
189,NA,155,161,249,216,307,318,2785,NA,3247,3109,2838,2644,2792,2771
113,NA,116,121,416,433,238,318,5412,NA,5314,6736,9251,9427,8532,7772
189,256,NA,121,124,260,238,177,3574,3021,NA,2579,291,281,477,354
492,586,506,525,249,86,NA,NA,1231,1706,1459,1616,1206,1221,NA,NA
227,146,155,161,457,NA,238,424,2772,2292,2687,3109,2709,NA,1911,1770
227,256,NA,444,374,520,409,318,1748,2313,NA,2796,1581,2409,2166,1731
NA,110,194,202,83,NA,68,70,NA,3236,3359,4393,4625,NA,6825,5447
75,73,155,121,249,260,136,NA,3608,4315,3247,3674,2548,2365,2313,NA
113,220,NA,202,333,780,170,814,170,293,NA,262,374,802,204,831
189,NA,155,NA,582,303,716,495,3574,NA,2997,NA,3116,2428,3349,2915
227,146,155,NA,166,86,102,141,3201,2934,3056,NA,4270,3212,3412,4165
75,NA,77,161,416,NA,136,354,1457,NA,795,1029,708,NA,426,654
NA,NA,77,80,NA,130,102,141,NA,NA,3247,3109,NA,1885,1861,1888
151,NA,233,202,582,433,546,389,2405,NA,1855,2105,3532,2282,2256,2264
75,146,155,NA,249,390,443,318,3788,2667,3801,NA,3375,3073,3728,3540
NA,146,NA,323,NA,477,136,NA,NA,1103,NA,2913,NA,1299,426,NA
113,183,NA,121,416,303,614,283,14207,11463,NA,8083,8326,7228,8301,7868
340,146,194,NA,1290,520,819,814,3278,2190,2706,NA,6145,4065,5460,4524
75,110,155,80,NA,173,375,212,1762,1865,1791,2127,NA,1577,1896,1506
189,183,NA,121,291,260,238,141,3946,3987,NA,2165,1955,1257,1502,1522
NA,183,NA,202,NA,NA,102,106,NA,10789,NA,10104,NA,NA,20477,17704
227,146,NA,242,457,346,136,318,4059,3762,NA,3911,4088,2496,1664,3186
227,220,NA,282,707,823,546,991,1495,1760,NA,3143,2912,3295,3193,3553
113,NA,116,121,NA,130,136,NA,5682,NA,4496,3277,NA,1885,2275,NA
NA,146,155,161,499,216,273,247,NA,1544,2226,1154,1830,1191,1414,1258
151,183,194,202,124,173,136,NA,455,366,409,363,187,216,204,NA
NA,146,155,NA,83,NA,170,NA,NA,495,583,NA,979,NA,1433,NA
75,146,NA,80,NA,173,NA,212,3608,4733,NA,4041,NA,3540,NA,3540
151,NA,77,363,333,390,614,212,2134,NA,2514,2636,1682,1668,1896,1078
NA,110,NA,161,208,NA,238,141,NA,1865,NA,1816,708,NA,785,671
189,183,NA,202,291,216,238,283,1661,1682,NA,1393,1312,1322,1231,1133
113,NA,155,121,249,390,409,354,4059,NA,4102,3566,4541,4591,6399,3613
75,NA,155,NA,NA,NA,68,70,511,NA,895,NA,NA,NA,1197,1160
NA,110,116,NA,NA,130,136,NA,NA,1358,1298,NA,NA,909,869,NA
75,73,155,NA,NA,173,170,NA,2367,1982,3056,NA,NA,1734,1227,NA
151,146,311,NA,749,520,648,778,8914,5869,6362,NA,12701,7767,11790,10386
75,NA,116,NA,83,NA,68,NA,701,NA,990,NA,250,NA,170,NA
NA,NA,77,121,124,NA,NA,212,NA,NA,779,709,249,NA,NA,478
